ALLSKY_KT,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M,RH2M,PS
0.54,2.58,2.91,3.48,13.81,69.75,100.83
0.57,2.74,3.17,2.43,12.84,65.06,101.27
0.59,2.84,3.36,2.02,12.61,63.88,101.17
0.31,1.51,3.35,2.41,11.84,68.56,100.75
0.32,1.55,3.27,4.06,13.27,81.94,100.79
0.46,2.23,2.97,4.83,13.77,82.69,101.82
0.62,3.01,3.22,2.08,12.08,73.94,102.44
0.57,2.81,3.29,2.25,12.99,70.12,102.51
0.48,2.36,3.26,2.6,13.8,71.62,102.37
0.33,1.63,3.5,2.64,12.98,78.75,102.11
0.49,2.46,3.28,3.16,12.51,84.12,101.79
0.3,1.52,3.37,4.38,13.65,71.5,101.5
0.55,2.8,3.38,3.01,12.83,71.75,101.31
0.43,2.19,3.11,3.59,11.87,82.38,101.37
0.59,3.02,3.47,4.84,11.91,77.56,101.82
0.56,2.91,3.29,4.76,12.16,79.5,102.21
0.27,1.43,3.66,3.37,12.26,85,102.22
0.4,2.08,3.84,1.94,11.7,75,101.75
0.55,2.92,3.41,3.8,11.65,71.69,101.69
0.48,2.51,3.3,5.93,12.19,80.44,102.07
0.08,0.43,3.9,8.77,12.97,77.69,101.7
0.09,0.5,3.91,8.41,13.94,90.19,101.16
0.1,0.53,3.97,4.05,14.31,88.81,101.21
0.31,1.71,3.45,6.59,12.95,89.75,101.59
0.64,3.54,3.62,2.44,11.35,79,101.99
0.6,3.34,3.54,4.57,11,76.5,101.83
0.58,3.23,3.51,4.66,10.69,76.75,101.7
0.27,1.49,4.18,2.77,11.26,73.56,101.4
0.09,0.54,4.19,4.52,10.97,75.25,100.85
0.55,3.18,3.52,3.81,11.12,77.94,101.3
0.52,3.02,3.7,1.71,11.58,72.25,101.5
0.65,3.8,3.99,3.99,11.76,71.44,101.17
0.66,3.88,4.17,1.97,11.8,74.88,101.55
0.58,3.45,3.79,1.33,12.24,76.12,102.12
0.61,3.66,3.88,1.9,12.29,69.69,102.21
0.59,3.6,3.54,1.6,12.65,76.75,102.25
0.62,3.74,3.7,1.8,12.65,78.69,101.91
0.6,3.72,3.92,2.1,13.17,76.94,101.72
0.4,2.48,3.68,2.02,13.34,83.56,102
0.63,3.96,4.11,1.27,13.77,73.06,101.96
0.62,3.93,3.87,2.09,13.73,71.5,101.74
0.58,3.69,3.74,2.88,13.3,73,101.35
0.49,3.18,4.53,3.99,13.61,69.38,100.83
0.54,3.49,4.57,2.84,14.5,67.94,100.82
0.5,3.28,4.63,3.83,14.86,64.69,101.1
0.62,4.08,4.07,4.27,13.99,59.81,100.9
0.63,4.2,4.21,2.02,14.76,54.5,100.91
0.55,3.74,3.63,1.23,16.15,55.94,101.14
0.65,4.38,4.34,1.69,16.37,65.44,101.46
0.62,4.24,4.14,1.94,15.61,85,101.68
0.52,3.6,3.99,3.18,14.37,88.12,102.03
0.57,3.99,3.88,2.66,13.94,81.12,102.29
0.47,3.31,4.13,2.6,14.37,76.5,102.36
0.57,4.01,3.97,3.65,14.3,79.06,102.59
0.56,4.03,4.04,1.34,14.2,74.19,102.5
